response_id,sentiment_score,Ppron,Inhib,Space,Filler,Ipron,Time,Humans,SheHe,Percept,Verbs,Quant,Body,Relativ,Nonflu,AuxVb,Cause,Sexual,Relig,Bio,Tentat,Incl,Leisure,Prep,Health,I,Hear,They,Posemo,Affect,Excl,Discrep,Present,CogMech,Death,Work,We,Ingest,Motion,Negate,Achiev,Swear,Social,Friends,Family,Pronoun,Funct,Feel,Money,Insight,Assent,Sad,Past,See,Future,Adverbs,Numbers,Certain,Anger,Home,Conj,Anx,Negemo,You,Article
21,9.212097624110383,1.3,0.15,0.95,0.0,0.95,0.5,0.05,0.0,0.15,2.05,0.45,0.05,1.7,0.05,1.1,0.45,0.0,0.0,0.1,0.25,0.95,0.1,2.25,0.05,1.05,0.05,0.1,0.8,0.85,0.05,0.35,1.55,2.45,0.0,1.0,0.1,0.0,0.3,0.1,1.05,0.0,0.85,0.1,0.0,2.25,7.75,0.05,0.0,0.4,0.0,0.0,0.35,0.0,0.05,0.7,0.0,0.15,0.05,0.0,0.8,0.0,0.05,0.05,0.75
22,5.167868353025464,1.8571428571428572,0.2857142857142857,1.5,0.0,1.3571428571428572,0.7142857142857143,0.07142857142857142,0.0,0.21428571428571427,3.0714285714285716,0.7857142857142857,0.07142857142857142,2.642857142857143,0.07142857142857142,1.5714285714285714,0.7142857142857143,0.0,0.0,0.14285714285714285,0.35714285714285715,1.4285714285714286,0.21428571428571427,3.357142857142857,0.07142857142857142,1.5,0.07142857142857142,0.14285714285714285,1.2142857142857142,1.2857142857142858,0.07142857142857142,0.5,2.357142857142857,3.7142857142857144,0.0,1.6428571428571428,0.14285714285714285,0.0,0.5,0.14285714285714285,1.7857142857142858,0.0,1.3571428571428572,0.14285714285714285,0.0,3.2142857142857144,11.571428571428571,0.07142857142857142,0.0,0.5714285714285714,0.0,0.0,0.5,0.0,0.07142857142857142,1.0,0.0,0.21428571428571427,0.07142857142857142,0.0,1.2142857142857142,0.0,0.07142857142857142,0.07142857142857142,1.2142857142857142
23,2.6905970391025185,8.666666666666666,1.3333333333333333,7.0,0.0,6.333333333333333,3.6666666666666665,0.3333333333333333,0.0,1.0,14.333333333333334,3.6666666666666665,0.3333333333333333,12.666666666666666,0.3333333333333333,7.333333333333333,3.3333333333333335,0.0,0.0,0.6666666666666666,1.6666666666666667,7.0,1.0,16.0,0.3333333333333333,7.0,0.3333333333333333,0.6666666666666666,5.666666666666667,6.0,0.3333333333333333,2.3333333333333335,11.0,17.666666666666668,0.0,8.0,0.6666666666666666,0.0,2.3333333333333335,0.6666666666666666,8.666666666666666,0.0,6.333333333333333,0.6666666666666666,0.0,15.0,54.333333333333336,0.3333333333333333,0.0,2.6666666666666665,0.0,0.0,2.3333333333333335,0.0,0.3333333333333333,4.666666666666667,0.0,1.0,0.3333333333333333,0.0,5.666666666666667,0.0,0.3333333333333333,0.3333333333333333,5.666666666666667
24,4.305820554757163,1.9285714285714286,0.2857142857142857,1.5714285714285714,0.0,1.3571428571428572,0.8571428571428571,0.07142857142857142,0.0,0.2857142857142857,3.142857142857143,0.7857142857142857,0.07142857142857142,2.857142857142857,0.07142857142857142,1.5714285714285714,0.7142857142857143,0.0,0.0,0.14285714285714285,0.35714285714285715,1.5,0.21428571428571427,3.7142857142857144,0.07142857142857142,1.5714285714285714,0.07142857142857142,0.14285714285714285,1.2142857142857142,1.2857142857142858,0.07142857142857142,0.5,2.357142857142857,3.7857142857142856,0.0,1.9285714285714286,0.14285714285714285,0.0,0.5,0.14285714285714285,1.9285714285714286,0.0,1.4285714285714286,0.14285714285714285,0.0,3.2857142857142856,12.214285714285714,0.07142857142857142,0.0,0.5714285714285714,0.0,0.0,0.5714285714285714,0.07142857142857142,0.07142857142857142,1.0,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.0,1.2142857142857142,0.0,0.07142857142857142,0.07142857142857142,1.3571428571428572
25,0.3168956821603113,5.6,0.8,4.4,0.0,4.0,2.4,0.2,0.0,0.8,9.0,2.2,0.2,8.0,0.2,4.4,2.0,0.0,0.0,0.4,1.0,4.2,0.6,10.6,0.2,4.4,0.2,0.4,3.4,3.6,0.2,1.6,6.8,10.8,0.0,5.4,0.4,0.0,1.4,0.4,5.4,0.0,4.4,0.4,0.0,9.6,34.8,0.2,0.0,1.6,0.0,0.0,1.6,0.2,0.2,2.8,0.2,0.6,0.2,0.0,3.4,0.0,0.2,0.4,3.8
26,-0.790959662234825,2.5,0.3333333333333333,1.9166666666666667,0.0,1.6666666666666667,1.25,0.08333333333333333,0.16666666666666666,0.3333333333333333,3.9166666666666665,1.0,0.08333333333333333,3.6666666666666665,0.08333333333333333,2.0,0.8333333333333334,0.0,0.0,0.16666666666666666,0.4166666666666667,1.8333333333333333,0.25,4.583333333333333,0.08333333333333333,1.8333333333333333,0.08333333333333333,0.16666666666666666,1.4166666666666667,1.5,0.16666666666666666,0.6666666666666666,3.0,4.666666666666667,0.0,2.3333333333333335,0.16666666666666666,0.0,0.5833333333333334,0.25,2.25,0.0,2.0,0.16666666666666666,0.0,4.166666666666667,15.166666666666666,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.0,0.0,0.6666666666666666,0.08333333333333333,0.08333333333333333,1.1666666666666667,0.08333333333333333,0.25,0.08333333333333333,0.0,1.5,0.0,0.08333333333333333,0.16666666666666666,1.5833333333333333
27,3.114597427511053,7.5,1.0,5.75,0.0,5.0,3.75,0.25,0.5,1.25,11.75,3.0,0.25,11.0,0.25,6.0,2.5,0.0,0.0,0.5,1.25,5.5,0.75,13.75,0.25,5.5,0.25,0.5,4.25,4.5,0.5,2.0,9.0,14.75,0.0,7.0,0.5,0.0,1.75,0.75,6.75,0.0,6.25,0.5,0.0,12.5,45.5,0.25,0.25,2.5,0.0,0.0,2.0,0.5,0.25,3.5,0.25,0.75,0.25,0.0,4.5,0.0,0.25,0.5,4.75
28,1.5572987137555265,30.0,4.0,24.0,0.0,20.0,15.0,1.0,2.0,5.0,47.0,12.0,1.0,45.0,1.0,24.0,10.0,0.0,0.0,2.0,5.0,23.0,3.0,56.0,1.0,22.0,1.0,2.0,17.0,18.0,2.0,8.0,36.0,60.0,0.0,28.0,2.0,0.0,7.0,3.0,27.0,0.0,25.0,2.0,0.0,50.0,183.0,1.0,1.0,10.0,0.0,0.0,8.0,2.0,1.0,15.0,1.0,3.0,1.0,0.0,18.0,0.0,1.0,2.0,19.0
29,2.1796941185755276,30.0,4.0,24.0,0.0,20.0,15.0,1.0,2.0,5.0,47.0,12.0,1.0,45.0,1.0,24.0,10.0,0.0,0.0,2.0,5.0,23.0,3.0,56.0,1.0,22.0,1.0,2.0,17.0,18.0,2.0,8.0,36.0,60.0,0.0,29.0,2.0,0.0,7.0,3.0,28.0,0.0,25.0,2.0,0.0,50.0,183.0,1.0,1.0,10.0,0.0,0.0,8.0,2.0,1.0,15.0,1.0,3.0,1.0,0.0,18.0,0.0,1.0,2.0,19.0
30,0.6899794501255646,7.5,1.0,6.0,0.0,5.0,3.75,0.25,0.5,1.25,11.75,3.0,0.25,11.25,0.25,6.0,2.5,0.0,0.0,0.5,1.25,5.75,0.75,14.5,0.25,5.5,0.25,0.5,4.25,4.5,0.5,2.0,9.0,15.0,0.0,7.5,0.5,0.0,1.75,0.75,7.0,0.0,6.5,0.5,0.0,12.5,46.25,0.25,0.25,2.5,0.0,0.0,2.0,0.5,0.25,3.75,0.25,0.75,0.25,0.0,4.5,0.0,0.25,0.5,4.75
